Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,0.741,0.348,0.274,0.085,0.035,0.259,0.468,0.614,0.345,0.373,0.190,0.359,0.598,0.964,achiupr01
Steven Adams,C,28,MEM,76,1999,0.547,2.9,0.997,0.693,0.260,0.042,0.003,0.003,0.548,0.632,0.350,0.438,0.000,0.000,0.490,,adamsst01
Bam Adebayo,C,24,MIA,56,1825,0.557,7.0,0.992,0.395,0.309,0.200,0.088,0.008,0.562,0.771,0.467,0.404,0.313,0.000,0.608,,adebaba01
Santi Aldama,PF,21,MEM,32,360,0.402,12.0,0.636,0.333,0.205,0.091,0.008,0.364,0.560,0.682,0.444,0.417,0.000,0.125,0.638,1.000,aldamsa01
LaMarcus Aldridge,C,36,BRK,47,1050,0.550,12.3,0.900,0.210,0.170,0.240,0.279,0.100,0.578,0.729,0.513,0.509,0.563,0.304,0.748,1.000,aldrila01
Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,0.503,0.213,0.162,0.071,0.057,0.497,0.433,0.579,0.318,0.375,0.282,0.311,0.399,0.876,alexani01
Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,0.316,0.158,0.097,0.047,0.014,0.684,0.533,0.678,0.400,0.370,0.375,0.409,0.646,0.912,allengr01
Jarrett Allen,C,23,CLE,56,1809,0.677,3.8,0.982,0.624,0.294,0.046,0.018,0.018,0.688,0.809,0.469,0.480,0.600,0.100,0.734,0.000,allenja01
Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,0.626,0.235,0.248,0.099,0.044,0.374,0.538,0.609,0.507,0.483,0.462,0.291,0.303,0.969,alvarjo01
Justin Anderson,SF,28,TOT,16,316,0.379,18.9,0.379,0.147,0.095,0.042,0.095,0.621,0.583,0.714,0.444,0.250,0.667,0.254,0.667,0.933,anderju01
